,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,8,genre,kind
8,9,mois,month
9,10,frère,brother
10,11,laisser,let
11,12,car,because
12,13,mettre,to put
13,14,aucun,no
14,15,laisse,leash
15,16,eux,them
16,17,ville,city
17,18,chaque,each
18,19,parlé,speak
19,20,arrivé,come
20,21,devrait,should
21,22,bébé,baby
22,23,longtemps,long time
23,24,heures,hours
24,25,vont,will
25,26,pendant,while
26,27,revoir,meet again
27,28,aucune,any
28,29,place,square
29,30,parle,speak
30,31,compris,understood
31,32,savais,knew
32,33,étaient,were
33,34,attention,Warning
34,35,voici,here is
35,36,pourrais,could
36,38,donner,give
37,39,type,type
38,40,leurs,their
39,41,donné,given
40,42,train,train
41,43,corps,body
42,44,endroit,place
43,45,yeux,eyes
44,46,façon,way
45,47,écoute,listen
46,48,dont,whose
47,49,trouve,find
48,50,premier,first
49,51,main,hand
50,52,première,first
51,53,côté,side
52,54,pouvoir,power
53,55,vieux,old
54,56,sois,be
55,57,tiens,here
56,58,tellement,so much
57,59,enfant,child
58,60,point,point
59,61,venu,came
60,62,suite,after
61,63,pardon,sorry
62,64,venez,come
63,65,devant,in front of
64,66,vers,towards
65,67,minutes,minutes
66,68,demandé,request
67,69,chambre,bedroom
68,70,mis,placed
69,71,belle,beautiful
70,72,aimerais,would like to
71,73,aujourd'hui,today
72,74,mari,husband
73,75,enfin,finally
74,76,espère,hope
75,77,eau,water
76,78,attendez,Wait
77,79,parti,left
78,80,nouvelle,new
79,81,boulot,job
80,82,arrêter,Stop
81,83,dirait,would say
82,84,terre,Earth
83,85,compte,account
84,86,donne,given
85,87,loin,far
86,89,croire,believe
87,90,gros,large
88,91,plutôt,rather
89,92,filles,girls
90,93,jouer,to play
